" And I see you have your your housemaid in attendance? " # " Cook, actually, " I said. # Berta drew up all five feet one inch of herself in magisterial silence. # " My family could not arrive in time for the funeral, " I said. # " What a pity. " # Not really. " Yes, " I said. " They set off from Rome just as soon as they heard the news. I believe they'll	arrive	home sometime tomorrow. " Mother, Father, and my sister, Lillian, were at present hurtling across the Atlantic aboard a Cunard ocean liner, returning from a three-month-long European shopping excursion. " And my brother, Andrew, is in the thick of studying for his final exams at Yale, so I told him to stay absolutely chained to his desk, or Father would be cross. "	believe	homebase	homebase		natural	COCA; 2015; New York, N.Y. : Minotaur Books,Edition: First edition; Come hell or highball :a mystery; Chance, Maia; FIC: Come hell or highball :a mystery 
I arrived at the INPO office for an 11:00 AM press conference. Two TV stations, 1 or 2 radio stations and several print journalists were there. I knew many of them so we did that right cheek, left cheek, right cheek kiss thing around the room for several minutes. Then we ordered macchiato. We stood/sat around waiting for that to	arrive	-- no need to get in any hurry you know.	none	3rd	none		natural	CORE; Personal Blog; Way Down In Kosovo; http://waydowninkosovo1.blogspot.com/
" They say that Sahalie Falls is 100 feet tall. The pure drop after the first dip is about 80 feet. It's an impressive sight by itself, never mind seeing somebody kayak off it, " says photographer Tim Kemple. A recent snowstorm left the landscape highlighting vibrant blue and green hues. " The water was bright blue, the moss was electric green, and the snow juxtaposes everything perfectly, " says Kemple. The group waited for clouds to	arrive	, ensuring Kemple was photographing in even light.	none	3rd	none		natural	CORE; Personal Blog; Extreme Photo of the Week -- National Geographic; http://adventure.nationalgeographic.com/adventure/extreme-photo-of-the-week/ 
Washington wrote to Alexander Hamilton on the 22nd, " The distressed situation of the army, for want of blankets and many necessary articles of clothing, is truly deplorable, and inevitably must bring destruction to it, unless a speedy remedy is applied. " Local leaders did what they could to supply the army with food and clothing. Reinforcements sent by Congress began to	arrive	, and Washington felt the army was sufficiently ready to mount an attack.	none	3rd	none		natural	CORE; Historical Article; History of the Battle of the Brandywine; http://www.ushistory.org/brandywine/thestory.htm 
So why should you buy an eBook reader? Convenience. Instead of going to a bookstore to make a purchase or ordering a book online and waiting for it to	arrive	, you can purchase and download an eBook anytime, from any location with a Wi-Fi connection.	none	3rd	none		natural	CORE; Review; eBook Reader 2013 | Compare Best eReaders | eBook Reader; http://ebook-reader-review.toptenreviews.com/ 
Packages addressed to Nicholas Danner c/o Toyco. # Why they weren't sent to his home, Danner couldn't say. He didn't even know where they came from. No notes included. No return address. # The contents of these tiny parcels were oddly shaped bits of plastic and metal, like pieces left over from an assemble-it-yourself kit, or the sweepings of a junk shop. # It could have been a joke, or the activity of a schizophrenic, he thought, until the third package	arrived	with a note.	none	3rd	none		natural	COCA; 2017; Hoboken Vol. 132, Iss. 3/4,  (Mar/Apr 2017): 84-176.; The Man Who Put the Bomp; Chwedyk, Richard; FIC: Fantasy & Science Fiction 
To celebrate our friend's birthday, my family invited a few people over for lunch, including a local pastor, his wife, and their young children. I tidied up the house and inspected every corner (or so I thought) before everyone	arrived	. After our guests left, I went into the bathroom and closed the door -- and was mortified to see my bra hanging behind the door!	none	3rd	none		natural	COCA; 2008 (Dec 2008); Vol. 211, Iss. 6; pg. 80; RED IN THE FACE; MAG: Redbook 
Chunyu Bai stood at the bus stop, waiting for a tunnel bus. # " The Cross Harbour Tunnel is a wonderful piece of engineering linking Kowloon and Hong Kong island. In the past, if you wanted to go to the Hong Kong side from Kowloon or vice versa, you had to waste a lot of time, first on the bus and then the ferry. But now, a tunnel bus from Mongkok to Causeway Bay takes less than fifteen minutes, " he thought. # The bus	arrived	. # He got on. # He dropped a coin into the fare box, climbed to the upper deck, and chose a window seat.	none	3rd	none		natural	COCA; 2004 (Summer); Vol. 47, Iss. 4; pg. 10, 33 pgs; Intersection; Liu Yichang; FIC: Literary Review 
We'll go to the market in Beaumont. I've read it's wonderful and they sell live animals. " # " I've always wanted a goat. " # They laugh, clicking glasses, proud that they made it this far. That they have reached this place. They have opened the shutters and made food from the garden. Sonia is savoring the dry red wine Katrine and Michel left them when she hears the mewing. On the windowsill just outside she sees the cat. She hasn't even thought about the cat since they	arrived	, but now he is on the ledge, begging to be let in. # Pet care was part of their exchange. She hadn't minded.	none	3rd	none	FID	natural	COCA; 2003 (Winter); Vol. 132, Iss. 1; pg. 106, 15 pgs; Exchanges; Mary Morris; FIC: Daedalus 
He recalled how intensely the man had worked during the recent space mission. Spivey was driven, all right. Sometimes that could be a good thing. It could also make some people dangerous. " You're sure these people will keep their word? " she whispered to Manella. He looked back with amusement. " Of course I'm not sure! Lustig may be nonviolent, but what do we know about his backers? " Again, he shrugged. " We'll find out soon enough. " Ask a foolish question.. Teresa thought. Their tour guide	arrived	at last, a dark-haired, dark-skinned young man with broad shoulders and a pleasant smile.	none	3rd	none		natural	COCA; 1990; Bantam Books, New York; Earth; David Brin; FIC: Earth 
