" And I see you have your your housemaid in attendance? " [SEP] " Cook, actually, " I said. [SEP] Berta drew up all five feet one inch of herself in magisterial silence. [SEP] " My family could not arrive in time for the funeral, " I said. [SEP] " What a pity. " [SEP] Not really. [SEP] " Yes, " [SEP] I said. [SEP] " They set off from Rome just as soon as they heard the news. [SEP] I believe they'll	arrive	home sometime tomorrow. [SEP] " Mother, Father, and my sister, Lillian, were at present hurtling across the Atlantic aboard a Cunard ocean liner, returning from a three-month-long European shopping excursion. " [SEP] And my brother, Andrew, is in the thick of studying for his final exams at Yale, so I told him to stay absolutely chained to his desk, or Father would be cross. [SEP] "	natural	COCA; 2015; New York, N.Y. : Minotaur Books,Edition: First edition; Come hell or highball :a mystery; Chance, Maia; FIC: Come hell or highball :a mystery	arrive	natural	natural	1	believe	homebase	homebase		go	come	drive	walk	arrive
I arrived at the INPO office for an 11:00 AM press conference. [SEP] Two TV stations, 1 or 2 radio stations and several print journalists were there. [SEP] I knew many of them so we did that right cheek, left cheek, right cheek kiss thing around the room for several minutes. [SEP] Then we ordered macchiato. [SEP] We stood/sat around waiting for that to	arrive	-- no need to get in any hurry you know.	natural	CORE; Personal Blog; Way Down In Kosovo; http://waydowninkosovo1.blogspot.com/	arrive	natural	natural	1	none	3rd	none		go	come	drive	walk	arrive
" They say that Sahalie Falls is 100 feet tall. The pure drop after the first dip is about 80 feet. It's an impressive sight by itself, never mind seeing somebody kayak off it, " says photographer Tim Kemple. [SEP] A recent snowstorm left the landscape highlighting vibrant blue and green hues. [SEP] " The water was bright blue, the moss was electric green, and the snow juxtaposes everything perfectly, " says Kemple. [SEP] The group waited for clouds to	arrive	, ensuring Kemple was photographing in even light.	natural	CORE; Personal Blog; Extreme Photo of the Week -- National Geographic; http://adventure.nationalgeographic.com/adventure/extreme-photo-of-the-week/	arrive	natural	natural	1	none	3rd	none		go	come	drive	walk	arrive
Washington wrote to Alexander Hamilton on the 22nd, " The distressed situation of the army, for want of blankets and many necessary articles of clothing, is truly deplorable, and inevitably must bring destruction to it, unless a speedy remedy is applied. " Local leaders did what they could to supply the army with food and clothing. [SEP] Reinforcements sent by Congress began to	arrive	, and Washington felt the army was sufficiently ready to mount an attack.	natural	CORE; Historical Article; History of the Battle of the Brandywine; http://www.ushistory.org/brandywine/thestory.htm	arrive	natural	natural	1	none	3rd	none		go	come	drive	walk	arrive
So why should you buy an eBook reader? [SEP] Convenience. [SEP] Instead of going to a bookstore to make a purchase or ordering a book online and waiting for it to	arrive	, you can purchase and download an eBook anytime, from any location with a Wi-Fi connection.	natural	CORE; Review; eBook Reader 2013 | Compare Best eReaders | eBook Reader; http://ebook-reader-review.toptenreviews.com/	arrive	natural	natural	1	none	3rd	none		go	come	drive	walk	arrive
Packages addressed to Nicholas Danner c/o Toyco. [SEP] Why they weren't sent to his home, Danner couldn't say. [SEP] He didn't even know where they came from. [SEP] No notes included. [SEP] No return address. [SEP] The contents of these tiny parcels were oddly shaped bits of plastic and metal, like pieces left over from an assemble-it-yourself kit, or the sweepings of a junk shop. [SEP] It could have been a joke, or the activity of a schizophrenic, he thought, until the third package	arrived	with a note.	natural	COCA; 2017; Hoboken Vol. 132, Iss. 3/4,  (Mar/Apr 2017): 84-176.; The Man Who Put the Bomp; Chwedyk, Richard; FIC: Fantasy & Science Fiction	arrive	natural	natural	3	none	3rd	none		went	came	drove	walked	arrived
To celebrate our friend's birthday, my family invited a few people over for lunch, including a local pastor, his wife, and their young children. [SEP] I tidied up the house and inspected every corner (or so I thought) before everyone	arrived	. After our guests left, I went into the bathroom and closed the door -- and was mortified to see my bra hanging behind the door!	natural	COCA; 2008 (Dec 2008); Vol. 211, Iss. 6; pg. 80; RED IN THE FACE; MAG: Redbook	arrive	natural	natural	3	none	3rd	none		went	came	drove	walked	arrived
Chunyu Bai stood at the bus stop, waiting for a tunnel bus. [SEP] " The Cross Harbour Tunnel is a wonderful piece of engineering linking Kowloon and Hong Kong island. In the past, if you wanted to go to the Hong Kong side from Kowloon or vice versa, you had to waste a lot of time, first on the bus and then the ferry. But now, a tunnel bus from Mongkok to Causeway Bay takes less than fifteen minutes, " he thought. [SEP] The bus	arrived	. [SEP] He got on. [SEP] He dropped a coin into the fare box, climbed to the upper deck, and chose a window seat.	natural	COCA; 2004 (Summer); Vol. 47, Iss. 4; pg. 10, 33 pgs; Intersection; Liu Yichang; FIC: Literary Review	arrive	natural	natural	3	none	3rd	none		went	came	drove	walked	arrived
We'll go to the market in Beaumont. [SEP] I've read it's wonderful and they sell live animals. [SEP] " [SEP] " [SEP] I've always wanted a goat. [SEP] " [SEP] They laugh, clicking glasses, proud that they made it this far. [SEP] That they have reached this place. [SEP] They have opened the shutters and made food from the garden. [SEP] Sonia is savoring the dry red wine Katrine and Michel left them when she hears the mewing. [SEP] On the windowsill just outside she sees the cat. [SEP] She hasn't even thought about the cat since they	arrived	, but now he is on the ledge, begging to be let in. [SEP] Pet care was part of their exchange. [SEP] She hadn't minded.	natural	COCA; 2003 (Winter); Vol. 132, Iss. 1; pg. 106, 15 pgs; Exchanges; Mary Morris; FIC: Daedalus	arrive	natural	natural	5	none	3rd	none	FID	gone	come	driven	walked	arrived
He recalled how intensely the man had worked during the recent space mission. [SEP] Spivey was driven, all right. [SEP] Sometimes that could be a good thing. [SEP] It could also make some people dangerous. [SEP] " You're sure these people will keep their word? " she whispered to Manella. [SEP] He looked back with amusement. [SEP] " Of course I'm not sure! Lustig may be nonviolent, but what do we know about his backers? " [SEP] Again, he shrugged. [SEP] " We'll find out soon enough. " [SEP] Ask a foolish question.. Teresa thought. Their tour guide	arrived	at last, a dark-haired, dark-skinned young man with broad shoulders and a pleasant smile.	natural	COCA; 1990; Bantam Books, New York; Earth; David Brin; FIC: Earth	arrive	natural	natural	3	none	3rd	none		went	came	drove	walked	arrived
Rothberg applied regular admission to Harvard. [SEP] The Harvard interview was at the suburban mansion of a prominent St. Louis lawyer, known to their family. [SEP] Rothberg followed the lawyer from one room to another in his meandering rec-room basement playing pinball and choosing songs from his 1950s era jukeboxes. [SEP] The assumption seemed to be not only that he would get into Harvard but that he would go. [SEP] " What are you going to do, stay at home and look at me? " His mother said when the admission letter	arrived	. " I'm going to work every day. " She shrugged her shoulders characteristically. " I'm not sure I even like the idea of you waiting around for me to die. " But Rothberg didn't believe her. This was his father's issue. For once, his father didn't say a word.	natural	COCA; 2019 (2018/09/22); Issue 100; Rothberg's Fathe	arrive	natural	natural	3	none	3rd	none		went	came	drove	walked	arrived
Henry followed Richard and McCampbell outside. [SEP] Snow had fallen the previous night. [SEP] Only patches remained, but the cold crept through Henry's boots, resoled many times since he was a quartermaster for Jubal Early. [SEP] The swan was the biggest and finest he had ever seen, and it had the river all to itself. [SEP] Nelle	arrived	with baby John and his nurse, Pearl. [SEP] Nelle was due to give birth again in the spring, and her shape showed through her winter coat. [SEP] " You shouldn't have walked, " said Richard, sounding anxious. [SEP] " A five-minute stroll, " Nelle said. [SEP] " It's bad enough I can't ride. "	natural	COCA; 2019 (2018/01/01); Vol. 54, Issue 1; Carbon Tet: Rapidan, Virginia, December 1910	arrive	natural	natural	5	none	accompaniment	with baby John and his nurse		gone	come	driven	walked	arrived
If memory serves, in one of his last chapters he wrote about female penguins and this strange, innate sense they seem to have. [SEP] Even though they are hundreds of miles away from their eggs, they somehow know exactly when their chicks will hatch and are able to	arrive	home within hours of the big event.	natural	CORE; Personal Blog; Cynicism & Hypocrisy :: 2 Sides of the Same Coin; http://joelnclark.com/2012/09/2-sides/	arrive	natural	natural	1	none	homebase	home		go	come	drive	walk	arrive
You're back at your desk at HackFix by 2:00 p.m. [SEP] The rest of your afternoon is spent catching up on the trajectories of HackFix projects during your vacation. [SEP] A costly five-year effort finally succeeded in cracking security at the Yunnan-Hanoi Auspicious Electron particle accelerator, and a root kit has installed itself in the unit's software controller. [SEP] It's dark by the time you	arrive	home at your apartment. [SEP] You phone out for Chinese and when it arrives, you eat it standing up, out of the carton, gazing through the window at the lights of Central Park far below. [SEP] The lake has frozen over but you can't spot any skaters. [SEP] The Park Conservancy probably thinks the ice is still too thin.	natural	COCA; 2017; Hoboken Vol. 132, Iss. 5/6,  (May/Jun 2017): 208-228; The First Day of Someone Else's Life; Schoffstall, John; FIC: Fantasy & Science Fiction	arrive	natural	natural	1	none	homebase	home		go	come	drive	walk	arrive
Is there assigned seating on the bus? [SEP] There is no assigned seating on the bus - it's first come, first serve. [SEP] If you have a number of people in your party that want to sit together, you should make sure to	arrive	15-20 minutes early.	natural	CORE;   Informational Description; Sex and the City Hotspots - Zerve; http://www.zerve.com/OnLocation/SATC	arrive	natural	natural	1	none	listener	none		go	come	drive	walk	arrive
